DATASET PATH: C:/Users/Tobia/workspace/ToyBeispiel/TempPP.dat

Vektor n [Desired-Out | Final-Result | Difference]


Vektor 1	 [59.105737902594	 | 59.64808416435651	 | -0.5423462617625106]
Vektor 64	 [43.8478144624152	 | 43.82983099804611	 | 0.017983464369088153]
Vektor 65	 [3.380569815214331	 | 5.586550185111242	 | -2.2059803698969107]
Vektor 66	 [1.1850431782332203	 | 3.4184817171499757	 | -2.2334385389167553]
Vektor 67	 [45.2246728642759	 | 45.22022449286504	 | 0.004448371410859409]
Vektor 68	 [77.8477653252778	 | 78.12854036447	 | -0.2807750391921928]
Vektor 69	 [43.0250354851673	 | 43.005595827630394	 | 0.019439657536906907]
Vektor 70	 [19.2876586996906	 | 19.791362328804347	 | -0.5037036291137476]
Vektor 71	 [2.3647424026752795	 | 4.616815235165296	 | -2.2520728324900166]
Vektor 72	 [50.3032466984584	 | 50.34796899367052	 | -0.04472229521211801]
Vektor 73	 [41.21361606173641	 | 41.196645388105544	 | 0.016970673630865463]
Vektor 74	 [45.9682913712294	 | 45.95339380628702	 | 0.01489756494238037]
Vektor 75	 [41.5454510406467	 | 41.52743169877476	 | 0.018019341871934103]
Vektor 76	 [71.4189977952872	 | 72.14329613068719	 | -0.7242983353999932]
Vektor 77	 [22.0281077073061	 | 22.61391950752588	 | -0.5858118002197799]
Vektor 78	 [2.3920489812438706	 | 2.387923963306338	 | 0.004125017937532505]
Vektor 79	 [1.1480898581263501	 | 1.723540861882693	 | -0.575451003756343]
Vektor 80	 [77.1979343127902	 | 78.19064172537006	 | -0.9927074125798612]
Vektor 81	 [3.44265536473102	 | 3.087565644180631	 | 0.3550897205503887]
Vektor 82	 [13.307395139715	 | 12.81867642476254	 | 0.48871871495246033]
Vektor 83	 [54.7438849126795	 | 54.99626811119617	 | -0.2523831985166751]
Vektor 84	 [28.837821930187104	 | 29.076057130972973	 | -0.23823520078586924]
Vektor 85	 [2.6982304489284203	 | 4.939261144837438	 | -2.241030695909018]
Vektor 86	 [53.092598327782	 | 53.1898644697515	 | -0.09726614196949868]
Vektor 87	 [26.797868628142403	 | 27.871265573991792	 | -1.0733969458493888]
Vektor 88	 [4.345497805445419	 | 3.7630244332917995	 | 0.5824733721536193]
Vektor 89	 [4.447143501260431	 | 3.8428682928259708	 | 0.6042752084344603]
Vektor 90	 [41.35076730735209	 | 41.333330278819474	 | 0.01743702853261908]
Vektor 91	 [19.241391924061	 | 20.016938199257577	 | -0.7755462751965787]
Vektor 92	 [21.938383711860205	 | 22.529867015088495	 | -0.5914833032282907]
Vektor 93	 [34.1188234450185	 | 34.193535554848694	 | -0.0747121098301946]
Vektor 94	 [8.62185901459961	 | 7.662240479658033	 | 0.9596185349415762]
Vektor 95	 [5.219298536866372	 | 7.282540150950685	 | -2.063241614084313]
Vektor 96	 [44.9978014529437	 | 44.9977038602857	 | 9.759265800113326E-5]
Vektor 97	 [9.509736843585108	 | 8.585946087543299	 | 0.923790756041809]
Vektor 98	 [50.357024604622694	 | 50.402624450075386	 | -0.04559984545269202]
Vektor 99	 [18.1058181893661	 | 18.427089814501212	 | -0.3212716251351111]
Vektor 100	 [28.2648450907667	 | 28.52619134802589	 | -0.26134625725919136]
Vektor 101	 [5.278046668177759	 | 7.3360251900208295	 | -2.0579785218430704]
Vektor 102	 [34.8649140470739	 | 34.92340036960526	 | -0.058486322531358326]
Vektor 103	 [2.3366675672411397	 | 4.58943988861114	 | -2.25277232137]
Vektor 104	 [24.451156171339893	 | 25.469787613664295	 | -1.018631442324402]
Vektor 105	 [3.50385698080132	 | 5.702113445640878	 | -2.1982564648395577]
Vektor 106	 [9.57307047896911	 | 11.208051295874448	 | -1.6349808169053386]
Vektor 107	 [52.178397500425895	 | 52.29007173474954	 | -0.11167423432364387]
Vektor 108	 [9.084319241824852	 | 8.139399120568521	 | 0.944920121256331]
Vektor 109	 [23.211599815550603	 | 24.155365162963164	 | -0.9437653474125618]
Vektor 110	 [7.511874490831028	 | 6.5555998841919925	 | 0.9562746066390355]
Vektor 111	 [68.5515335575606	 | 69.15231892286015	 | -0.6007853652995436]
Vektor 112	 [79.9245653793995	 | 81.05117740194481	 | -1.1266120225453164]
Vektor 113	 [23.192319563895897	 | 23.707166026410857	 | -0.51484646251496]
Vektor 114	 [22.6052805919045	 | 23.155302045346396	 | -0.5500214534418966]
Vektor 115	 [9.015132326704363	 | 8.067451695967948	 | 0.9476806307364143]
Vektor 116	 [75.0821628623506	 | 75.70486630268591	 | -0.6227034403353144]
Vektor 117	 [11.8902594011511	 | 13.295639337895995	 | -1.405379936744895]
Vektor 118	 [5.024525920653181	 | 7.104994001932239	 | -2.080468081279058]
Vektor 119	 [19.4080826041287	 | 19.929330615128684	 | -0.5212480109999831]
Vektor 120	 [31.28417138536231	 | 32.196754481155416	 | -0.9125830957931065]
Vektor 121	 [10.8487407315618	 | 10.033729382444893	 | 0.815011349116908]
Vektor 122	 [3.9252228849309807	 | 6.0945823551002025	 | -2.169359470169222]
Vektor 123	 [35.3560830071507	 | 35.40477263914145	 | -0.04868963199074727]
Vektor 124	 [35.2482465242977	 | 35.85130368758112	 | -0.6030571632834238]
Vektor 125	 [5.890513299571171	 | 7.892042013938835	 | -2.001528714367664]
Vektor 126	 [75.7519212561322	 | 76.67533366119278	 | -0.9234124050605743]
Vektor 127	 [69.0849631017515	 | 69.70816829910609	 | -0.6232051973545936]
Vektor 128	 [36.3841602513385	 | 36.89064299214027	 | -0.506482740801772]
Vektor 129	 [12.5354036245678	 | 11.930654058418078	 | 0.6047495661497226]
Vektor 130	 [18.338180488843	 | 19.181239714282583	 | -0.8430592254395819]
Vektor 131	 [5.547146163541079	 | 4.751660379081031	 | 0.7954857844600483]
Vektor 132	 [76.440470667067	 | 76.91194164962067	 | -0.4714709825536687]
Vektor 133	 [21.074626993018	 | 21.722195577158544	 | -0.6475685841405436]
Vektor 134	 [20.3297897303604	 | 20.97783847642018	 | -0.6480487460597821]
Vektor 135	 [4.56432633991748	 | 3.9358204144087967	 | 0.6285059255086836]
Vektor 136	 [13.986798980023298	 | 13.607313853583111	 | 0.37948512644018706]
Vektor 137	 [44.6183398119329	 | 44.62673102157043	 | -0.00839120963753004]
Vektor 138	 [5.657525575192411	 | 4.847142438535535	 | 0.8103831366568759]
Vektor 139	 [11.970916118182998	 | 11.288317512390304	 | 0.6825986057926947]
Vektor 140	 [76.2033118466792	 | 77.14821694959113	 | -0.9449051029119317]
Vektor 141	 [12.6306368263304	 | 12.03964702396223	 | 0.5909898023681706]
Vektor 142	 [35.56191864776001	 | 36.13825882958183	 | -0.5763401818218199]
Vektor 143	 [1.1138146066642194	 | 3.341409506369353	 | -2.227594899705134]
Vektor 144	 [35.4167796332734	 | 36.00548544144808	 | -0.5887058081746801]
Vektor 145	 [12.3306241070137	 | 11.696876408470835	 | 0.6337476985428641]
Vektor 146	 [52.9906387284782	 | 53.08573896982929	 | -0.09510024135109063]
Vektor 147	 [3.018547190683271	 | 2.792914082503027	 | 0.22563310818024362]
Vektor 148	 [9.19495711131995	 | 10.868100695763584	 | -1.6731435844436344]
Vektor 149	 [20.450892104214095	 | 21.1145530699693	 | -0.6636609657552057]
Vektor 150	 [5.85870041385278	 | 7.863224072838806	 | -2.0045236589860256]
Vektor 151	 [26.304494033590107	 | 27.375474116026634	 | -1.0709800824365274]
Vektor 152	 [40.48639268373001	 | 40.472677388296056	 | 0.013715295433954111]
Vektor 153	 [8.6334029314917	 | 7.674041892742951	 | 0.9593610387487495]
Vektor 154	 [43.710095882304	 | 43.69175905304801	 | 0.018336829255993337]
Vektor 155	 [28.9451152743391	 | 29.978440154959547	 | -1.033324880620448]
Vektor 156	 [35.28623762786451	 | 35.33627789971618	 | -0.050040271851671037]
Vektor 157	 [10.2006356465526	 | 11.772576478098618	 | -1.5719408315460175]
Vektor 158	 [21.232728241297398	 | 21.869829415726503	 | -0.6371011744291053]
Vektor 159	 [12.1237532548656	 | 13.506591631814825	 | -1.3828383769492252]
Vektor 160	 [20.864849176744205	 | 21.52644612629423	 | -0.6615969495500238]
Vektor 161	 [23.447115994344706	 | 24.407599509179047	 | -0.9604835148343405]
Vektor 162	 [14.7194349442074	 | 14.462963061660254	 | 0.2564718825471459]
Vektor 163	 [9.27496524892836	 | 10.94002565619452	 | -1.665060407266159]
Vektor 164	 [3.7684417966472896	 | 5.948971541989039	 | -2.180529745341749]
Vektor 165	 [6.318384324372619	 | 8.279088508196732	 | -1.960704183824113]
Vektor 166	 [22.037818518905297	 | 22.62301823393362	 | -0.5851997150283239]
Vektor 167	 [30.7916685806855	 | 31.735062003451247	 | -0.9433934227657481]
Vektor 168	 [78.06668882603732	 | 79.10162471860171	 | -1.0349358925643912]
Vektor 169	 [7.264855843469048	 | 9.132560285289902	 | -1.8677044418208535]
Vektor 170	 [34.933150321201005	 | 34.990233858019245	 | -0.05708353681824008]
Vektor 171	 [38.94000386600741	 | 38.93768304807521	 | 0.00232081793220118]
Vektor 172	 [39.5273899530449	 | 39.78577383733136	 | -0.2583838842864594]
Vektor 173	 [34.75506644206111	 | 35.39998197229138	 | -0.6449155302302714]
Vektor 174	 [24.3068623913385	 | 24.758310046663485	 | -0.4514476553249871]
Vektor 175	 [29.586717930193405	 | 30.593867306713143	 | -1.0071493765197381]
Vektor 176	 [57.5895683308356	 | 57.79943473736499	 | -0.20986640652939315]
Vektor 177	 [37.6635243233438	 | 37.67533651107057	 | -0.011812187726768286]
Vektor 178	 [45.3739647340083	 | 45.3627829918093	 | 0.0111817421989997]
Vektor 179	 [4.916611044173311	 | 4.220947506640956	 | 0.6956635375323552]
Vektor 180	 [56.4432062292129	 | 56.62132165352149	 | -0.17811542430859362]
Vektor 181	 [12.9386178985865	 | 12.393240642924692	 | 0.5453772556618084]
Vektor 182	 [57.205916166711795	 | 57.40493540611529	 | -0.19901923940349775]
Vektor 183	 [37.8223405130585	 | 38.20996350161923	 | -0.38762298856072874]
Vektor 184	 [19.342169409281396	 | 20.11036484778592	 | -0.7681954385045238]
Vektor 185	 [5.893997361090781	 | 5.054190058470291	 | 0.83980730262049]
Vektor 186	 [15.6033083012145	 | 16.668385243988922	 | -1.0650769427744216]
Vektor 187	 [61.4724282495278	 | 61.80385421593904	 | -0.33142596641123845]
Vektor 188	 [3.282043984253071	 | 2.974164713568627	 | 0.307879270684444]
Vektor 189	 [6.587575369003832	 | 5.68032735534269	 | 0.9072480136611425]
Vektor 190	 [55.43703300494509	 | 55.58895151590276	 | -0.15191851095766395]
Vektor 191	 [1.81410420416244	 | 4.071685196829966	 | -2.257580992667526]
Vektor 192	 [31.625449917432405	 | 32.51528971176764	 | -0.8898397943352379]
Vektor 193	 [28.6392907186804	 | 29.68296684721201	 | -1.0436761285316116]
Vektor 194	 [1.3481503944757605	 | 1.8140230160839992	 | -0.4658726216082387]
Vektor 195	 [1.7604981285421397	 | 4.017529331791145	 | -2.2570312032490056]
Vektor 196	 [31.9172199278274	 | 32.04951542237653	 | -0.1322954945491297]
Vektor 197	 [26.626816347820103	 | 26.96030747214561	 | -0.33349112432550854]
Vektor 198	 [9.94364353045634	 | 11.54134422976055	 | -1.5977006993042107]
Vektor 199	 [61.3635462340863	 | 61.69128617727822	 | -0.3277399431919221]
Vektor 200	 [73.8822174586776	 | 74.61245241011612	 | -0.7302349514385185]
Vektor 201	 [77.3232590279598	 | 77.67920691010572	 | -0.35594788214591233]
Vektor 202	 [22.2288472349912	 | 23.090348240707982	 | -0.8615010057167822]
Vektor 203	 [7.84838163845597	 | 6.885015922417048	 | 0.963365716038922]
Vektor 204	 [58.33052195677399	 | 58.561953139500226	 | -0.23143118272623298]
Vektor 205	 [19.4895818427196	 | 20.247090841597227	 | -0.7575089988776291]
Vektor 206	 [18.142897187324095	 | 18.470144520461456	 | -0.3272473331373611]
Vektor 207	 [57.4162839725222	 | 57.62122381082223	 | -0.20493983830002804]
Vektor 208	 [76.0549839280254	 | 76.9928122737176	 | -0.9378283456922105]
Vektor 209	 [9.81344972197874	 | 8.908938989365318	 | 0.9045107326134225]
Vektor 210	 [52.166396221049595	 | 52.2446567539577	 | -0.07826053290810364]
Vektor 211	 [9.031722579098151	 | 8.084686236596443	 | 0.9470363425017077]
Vektor 212	 [5.556620890258089	 | 4.759826946696139	 | 0.7967939435619504]
Vektor 213	 [22.3157941932683	 | 22.88361678585277	 | -0.56782259258447]
Vektor 214	 [28.3762164689733	 | 29.427637004238015	 | -1.0514205352647146]
Vektor 215	 [20.519606991623498	 | 21.19201243894953	 | -0.6724054473260317]
Vektor 216	 [25.3894474116565	 | 25.783517745641653	 | -0.3940703339851517]
Vektor 217	 [9.31436071643237	 | 10.97544240293508	 | -1.66108168650271]
Vektor 218	 [28.1345292138703	 | 28.401284171392067	 | -0.2667549575217656]
Vektor 219	 [52.399598257745	 | 52.52185677871775	 | -0.1222585209727498]
Vektor 220	 [9.871042378286111	 | 11.476035218962952	 | -1.6049928406768412]
Vektor 221	 [56.1971761727307	 | 56.36873922603343	 | -0.1715630533027337]
Vektor 222	 [34.985754790469905	 | 35.61112566201558	 | -0.6253708715456767]
Vektor 223	 [74.3945279265434	 | 75.254111890343	 | -0.8595839637995937]
Vektor 224	 [18.152845444074096	 | 19.01011969306627	 | -0.857274248992173]
Vektor 225	 [4.43761111415982	 | 6.567562659624965	 | -2.129951545465145]
Vektor 226	 [33.86403709842231	 | 33.94466596010509	 | -0.08062886168278283]
Vektor 227	 [4.8481449597593205	 | 4.164876428640493	 | 0.6832685311188271]
Vektor 228	 [61.69551494915311	 | 62.40408291150882	 | -0.7085679623557155]
Vektor 229	 [77.4091795783413	 | 78.41211549315165	 | -1.002935914810351]
Vektor 230	 [56.063632621923	 | 56.40018399372584	 | -0.336551371802841]
Vektor 231	 [1.2315871087586405	 | 3.4684188890568564	 | -2.236831780298216]
Vektor 232	 [2.0556536567499104	 | 4.313114415017474	 | -2.257460758267564]
Vektor 233	 [22.310057046722502	 | 23.17911211713217	 | -0.8690550704096687]
Vektor 234	 [1.63082320751733	 | 1.954279182062162	 | -0.323455974544832]
Vektor 235	 [15.345498630878998	 | 15.196771629815776	 | 0.14872700106322156]
Vektor 236	 [18.0410002127048	 | 18.351791461894205	 | -0.3107912491894034]
Vektor 237	 [19.4495429541015	 | 20.20994675170304	 | -0.7604037976015405]
Vektor 238	 [68.1725327281297	 | 68.75755182832602	 | -0.5850191001963196]
Vektor 239	 [24.181658419364105	 | 25.18676900762449	 | -1.0051105882603864]
Vektor 240	 [46.3943207448183	 | 46.39056451347288	 | 0.0037562313454202467]
Vektor 241	 [1.26029995938265	 | 1.7733023226650406	 | -0.5130023632823906]
Vektor 242	 [1.60905463796271	 | 3.863235184226255	 | -2.2541805462635454]
Vektor 243	 [11.1711975289278	 | 10.390825823210655	 | 0.7803717057171458]
Vektor 244	 [49.0575582372041	 | 49.08350907113445	 | -0.025950833930352246]
Vektor 245	 [25.6804931868945	 | 26.05983757045656	 | -0.37934438356206]
Vektor 246	 [2.64799873277672	 | 4.890991813938243	 | -2.2429930811615226]
Vektor 247	 [14.4025708384435	 | 14.092371601095264	 | 0.31019923734823607]
Vektor 248	 [37.523175578696	 | 37.93496909303479	 | -0.41179351433878963]
Vektor 249	 [38.8568605905205	 | 38.85532833064083	 | 0.0015322598796672082]
Vektor 250	 [32.6086363382034	 | 32.72126007021716	 | -0.11262373201376619]
Vektor 251	 [8.84135236136329	 | 7.8876001664699675	 | 0.9537521948933225]
Vektor 252	 [6.891357198948162	 | 8.796109982456853	 | -1.904752783508691]
Vektor 253	 [50.7815296851305	 | 50.83462762371498	 | -0.053097938584478754]
Vektor 254	 [28.896018323715403	 | 29.131966972330606	 | -0.23594864861520293]
Vektor 255	 [59.93315147435769	 | 60.53073551499952	 | -0.5975840406418271]
Vektor 256	 [1.6591117260586294	 | 3.914457330079376	 | -2.2553456040207465]
Vektor 257	 [17.792678876596305	 | 18.06293414593816	 | -0.27025526934185606]
Vektor 258	 [49.330149185313594	 | 49.359950049213225	 | -0.02980086389963077]
Vektor 259	 [31.500349366718705	 | 32.398650982919456	 | -0.8983016162007509]
Vektor 260	 [17.688470144522796	 | 17.941542619047297	 | -0.253072474524501]
Vektor 261	 [2.0371746547495295	 | 2.1767761964349757	 | -0.13960154168544614]
Vektor 262	 [20.2345925262756	 | 20.870190815725163	 | -0.6355982894495646]
Vektor 263	 [15.398331911679396	 | 15.258761017195337	 | 0.13957089448405924]
Vektor 264	 [47.1918666059681	 | 47.17243580958472	 | 0.019430796383382187]
Vektor 265	 [5.10607013400925	 | 4.377723300856907	 | 0.7283468331523428]
Vektor 266	 [40.095380028712206	 | 40.08396558345835	 | 0.011414445253855376]
Vektor 267	 [65.8160155212895	 | 66.71398698081958	 | -0.8979714595300834]
Vektor 268	 [29.955318940321	 | 30.15158665788825	 | -0.19626771756724892]
Vektor 269	 [3.37199672746815	 | 5.578500503864452	 | -2.2065037763963025]
Vektor 270	 [15.2037040616158	 | 15.030440512991136	 | 0.1732635486246643]
Vektor 271	 [44.5974690315049	 | 44.582170650430385	 | 0.015298381074515532]
Vektor 272	 [59.7044127358652	 | 59.97791145374659	 | -0.27349871788139524]
Vektor 273	 [7.0551440492047695	 | 6.117512530929491	 | 0.9376315182752784]
Vektor 274	 [16.484740265912098	 | 17.47542640959307	 | -0.9906861436809713]
Vektor 275	 [29.502080150622607	 | 30.513014014794827	 | -1.0109338641722196]
Vektor 276	 [23.577502500422202	 | 24.069938745975627	 | -0.49243624555342436]
Vektor 277	 [48.3703450375596	 | 48.38724348909163	 | -0.016898451532028957]
Vektor 278	 [3.6490341966732807	 | 5.837748303930213	 | -2.1887141072569323]
Vektor 279	 [52.27755295932679	 | 52.393930356523775	 | -0.11637739719698459]
Vektor 280	 [24.433687202244503	 | 24.87819989047124	 | -0.4445126882267374]
Vektor 281	 [6.4114056025345905	 | 8.363114789955922	 | -1.951709187421332]
Vektor 282	 [54.4348073510831	 | 54.668416028809695	 | -0.23360867772659333]
Vektor 283	 [66.6856072882489	 | 67.60508304843914	 | -0.9194757601902381]
Vektor 284	 [78.4429194079135	 | 78.6324413025161	 | -0.18952189460260627]
Vektor 285	 [20.813540698630902	 | 21.522400569774366	 | -0.7088598711434635]
Vektor 286	 [14.9889355766336	 | 14.778638179700764	 | 0.21029739693283567]
Vektor 287	 [11.980152159555596	 | 11.298772761622581	 | 0.6813793979330143]
Vektor 288	 [31.896425879205403	 | 32.76746676040854	 | -0.871040881203136]
Vektor 289	 [40.24878454203701	 | 40.23642112773777	 | 0.012363414299237263]
Vektor 290	 [4.3231843695575805	 | 3.745595500036713	 | 0.5775888695208673]
Vektor 291	 [26.972791683171412	 | 28.0459406899209	 | -1.0731490067494889]
Vektor 292	 [27.729660035118805	 | 28.795323807164777	 | -1.0656637720459727]
Vektor 293	 [63.974551317207705	 | 64.80352149363007	 | -0.8289701764223665]
Vektor 294	 [55.8030741429861	 | 55.964338337004584	 | -0.1612641940184858]
Vektor 295	 [76.65979602088952	 | 77.62656572270018	 | -0.9667697018106622]
Vektor 296	 [76.7341720764744	 | 77.70451630250085	 | -0.9703442260264552]
Vektor 297	 [3.67509259786483	 | 3.2554337103833317	 | 0.41965888748149816]
Vektor 298	 [4.31628657413353	 | 6.455931141053729	 | -2.1396445669201993]
Vektor 299	 [19.1364969024602	 | 19.617881612765892	 | -0.48138471030569363]
Vektor 300	 [15.1296697095343	 | 14.943620181833083	 | 0.18604952770121663]
Vektor 301	 [34.7226444608406	 | 35.370300366371055	 | -0.6476559055304563]
Vektor 302	 [23.588763560984795	 | 24.55873910470203	 | -0.9699755437172364]
Vektor 303	 [4.26030608628497	 | 6.404352094383338	 | -2.1440460080983677]
Vektor 304	 [45.2248476669626	 | 45.22039615274367	 | 0.004451514218935415]
Vektor 305	 [11.815002660506401	 | 11.112115669523693	 | 0.7028869909827087]
Vektor 306	 [11.58018203507	 | 10.847821008656759	 | 0.7323610264132423]
Vektor 307	 [56.7556094271785	 | 57.13822256590816	 | -0.38261313872965985]
Vektor 308	 [1.0854865488787995	 | 1.6969686909287003	 | -0.6114821420499008]
Vektor 309	 [48.057179101331	 | 48.070266915443995	 | -0.013087814112992646]
Vektor 310	 [34.35510606492801	 | 34.424502748011896	 | -0.06939668308388747]
Vektor 311	 [4.580856319621221	 | 6.699107843756858	 | -2.118251524135637]
Vektor 312	 [1.2017917724769707	 | 3.4364885644668526	 | -2.234696791989882]
Vektor 313	 [4.804807173263731	 | 4.129546653168766	 | 0.6752605200949651]
Vektor 314	 [25.113599328687595	 | 26.159007857629266	 | -1.045408528941671]
Vektor 315	 [21.496471442671993	 | 22.283851871344933	 | -0.7873804286729396]
Vektor 316	 [14.3641712087918	 | 14.04751028636458	 | 0.31666092242721966]
Vektor 317	 [39.86285609270631	 | 39.85299463208186	 | 0.009861460624449592]
Vektor 318	 [24.9266011005493	 | 25.344698879868133	 | -0.41809777931883474]
Vektor 319	 [1.6527115684556704	 | 1.9656747968222976	 | -0.31296322836662727]
Vektor 320	 [46.4473389287714	 | 46.4440299870541	 | 0.003308941717300229]
Vektor 321	 [10.0760736974552	 | 11.660489419100813	 | -1.5844157216456125]
Vektor 322	 [16.4540787369915	 | 16.497740847411414	 | -0.043662110419912636]
Vektor 323	 [14.7907477290974	 | 15.926703328175872	 | -1.1359555990784713]
Vektor 324	 [1.7794064617744905	 | 4.036657535775479	 | -2.2572510740009886]
Vektor 325	 [17.0472951157773	 | 17.19273902240017	 | -0.14544390662286943]
Vektor 326	 [1.8651336052218803	 | 4.123032290493738	 | -2.2578986852718574]
Vektor 327	 [79.6271586889889	 | 80.73897699033394	 | -1.1118183013450391]
Vektor 328	 [4.36371195369053	 | 3.7772778236944395	 | 0.5864341299960909]
Vektor 329	 [13.6961761938698	 | 13.26928125892558	 | 0.4268949349442188]
Vektor 330	 [9.83780829937614	 | 8.934989187566531	 | 0.9028191118096096]
Vektor 331	 [15.415023627552001	 | 16.49633090180757	 | -1.08130727425557]
Vektor 332	 [29.67068986400811	 | 29.877260322765572	 | -0.2065704587574615]
Vektor 333	 [21.0315676121131	 | 21.766450060202533	 | -0.7348824480894329]
Vektor 334	 [21.3246877544675	 | 21.95574214883804	 | -0.6310543943705405]
Vektor 335	 [12.0721767681312	 | 11.403048690884178	 | 0.6691280772470218]
Vektor 336	 [36.1634860194914	 | 36.19757428161722	 | -0.03408826212582028]
Vektor 337	 [33.926443033998915	 | 34.00560486390767	 | -0.07916182990875598]
